dataset,method,repetition,repetition_name,idx,AP50_class1,mAP_class1,average_AP50,average_mAP,AP50_class2,mAP_class2,AP50_class3,mAP_class3,AP50_class4,mAP_class4,AP50_class5,mAP_class5,AP50_class6,mAP_class6
conic,nnunet,2,2,crag_58,0.0,0.0,0.2589052617549896,0.16613753139972687,0.5274913907051086,0.31285685300827026,0.31578946113586426,0.2305571585893631,0.23076923191547394,0.19645097851753235,0.0,0.0,0.4793814420700073,0.25696030259132385
conic,nnunet,2,2,crag_64,0.03703703731298447,0.029629629105329514,0.32129350304603577,0.2124936729669571,0.3589385449886322,0.19545406103134155,0.621564507484436,0.44106054306030273,0.22093023359775543,0.16471357643604279,0.11999999731779099,0.08738461881875992,0.569290816783905,0.35671958327293396
conic,nnunet,3,3,dpath_8,0.19354838132858276,0.12230841815471649,0.42175212502479553,0.28835752606391907,0.5632075667381287,0.3153932988643646,0.6534161567687988,0.49905824661254883,0.4888888895511627,0.3826202154159546,0.07692307978868484,0.04282364249229431,0.5545286536216736,0.36794134974479675
conic,nnunet,3,3,dpath_11,0.0,0.0,0.5482805371284485,0.36627134680747986,0.6185725331306458,0.30961185693740845,0.7417103052139282,0.594340443611145,0.6063829660415649,0.47790470719337463,0.6774193644523621,0.3523881435394287,0.6455981731414795,0.4633827209472656
conic,nnunet,3,3,dpath_12,0.16556291282176971,0.09140639007091522,0.42844510078430176,0.2855813503265381,0.34481292963027954,0.1629023253917694,0.7276774644851685,0.5523110032081604,0.30569106340408325,0.22425732016563416,0.38652482628822327,0.24483224749565125,0.6404016017913818,0.43777886033058167
conic,nnunet,3,3,dpath_17,0.0,0.0,0.3947201669216156,0.2735235393047333,0.5333333611488342,0.2841939628124237,0.7621483206748962,0.5869340896606445,0.41304346919059753,0.31680622696876526,0.0555555559694767,0.04444444552063942,0.6042402982711792,0.4087626039981842
conic,nnunet,3,3,dpath_21,,,0.4515390396118164,0.29750770330429077,0.6042780876159668,0.31488779187202454,0.7269426584243774,0.5300842523574829,0.3041236996650696,0.23790761828422546,0.0,0.0,0.6223506927490234,0.4046589732170105
conic,nnunet,3,3,dpath_22,0.03703703731298447,0.014730175957083702,0.36568108201026917,0.2453385591506958,0.6791366934776306,0.4073394238948822,0.6308376789093018,0.4672701358795166,0.29694321751594543,0.21523377299308777,0.0,0.0,0.5501319169998169,0.3674578070640564
conic,nnunet,3,3,dpath_24,,,0.4308861792087555,0.2952532172203064,0.677142858505249,0.37150147557258606,0.5962441563606262,0.4690614640712738,0.36252546310424805,0.27628427743911743,0.0,0.0,0.5185185074806213,0.35941874980926514
conic,nnunet,3,3,dpath_31,0.0,0.0,0.3798478841781616,0.2547508180141449,0.6666666865348816,0.3856509327888489,0.696107804775238,0.49724799394607544,0.11428571492433548,0.08782608807086945,0.22499999403953552,0.14923933148384094,0.5770270228385925,0.40854042768478394
conic,nnunet,3,3,dpath_33,0.15000000596046448,0.08639860153198242,0.4490867555141449,0.3093178868293762,0.5312145352363586,0.29211291670799255,0.6881029009819031,0.49966859817504883,0.4330708682537079,0.34685179591178894,0.25,0.17499999701976776,0.6421319842338562,0.4558753967285156
conic,nnunet,3,3,dpath_34,,,0.4854784905910492,0.33963561058044434,0.5873702168464661,0.31867682933807373,0.7606679201126099,0.6178137063980103,0.3195876181125641,0.2692963480949402,0.20000000298023224,0.10000000149011612,0.5597667694091797,0.3923911452293396
conic,nnunet,3,3,dpath_40,0.0,0.0,0.3821854889392853,0.24653704464435577,0.571265697479248,0.28518354892730713,0.7467902898788452,0.5374688506126404,0.4146341383457184,0.2907505929470062,0.0,0.0,0.560422956943512,0.3658193051815033
conic,nnunet,3,3,dpath_48,0.09259258955717087,0.043200187385082245,0.38687649369239807,0.2483423501253128,0.4698055386543274,0.24635371565818787,0.6100719571113586,0.4686649441719055,0.36180904507637024,0.2694544196128845,0.2195121943950653,0.11093907058238983,0.5674676299095154,0.3514418601989746
conic,nnunet,3,3,dpath_52,0.0,0.0,0.2983371913433075,0.19145262241363525,0.6024096608161926,0.30032360553741455,0.36966824531555176,0.2843703031539917,0.43262410163879395,0.293420672416687,0.0,0.0,0.38532111048698425,0.27060121297836304
conic,nnunet,3,3,dpath_56,0.0,0.0,0.3590323328971863,0.23502428829669952,0.593785285949707,0.34021395444869995,0.5888031125068665,0.4530574381351471,0.3015267252922058,0.19984173774719238,,,0.3110465109348297,0.18200822174549103
conic,nnunet,3,3,dpath_65,0.34493669867515564,0.2157333642244339,0.48164644837379456,0.325685054063797,0.5431279540061951,0.3102948069572449,0.6297577619552612,0.5174099206924438,0.5114504098892212,0.40904879570007324,0.3333333432674408,0.16483406722545624,0.5272727012634277,0.3367895483970642
conic,nnunet,3,3,glas_11,0.0,0.0,0.490780234336853,0.3306369483470917,0.4820895493030548,0.2950373589992523,0.6637930870056152,0.5335994362831116,0.5765765905380249,0.43972697854042053,0.6000000238418579,0.28190478682518005,0.6222222447395325,0.4335530698299408
conic,nnunet,3,3,glas_12,0.0,0.0,0.36396387219429016,0.21052058041095734,0.2750316858291626,0.14318916201591492,0.6469990015029907,0.42964833974838257,0.3272727131843567,0.22854602336883545,0.5405405163764954,0.2450052797794342,0.39393940567970276,0.21673473715782166
conic,nnunet,3,3,glas_16,,,0.4000832438468933,0.2512604892253876,0.3107476532459259,0.14806459844112396,0.6625000238418579,0.44573894143104553,0.29411765933036804,0.19123250246047974,0.25,0.18611112236976624,0.4830508530139923,0.2851552963256836
conic,nnunet,3,3,glas_18,0.0,0.0,0.2877095341682434,0.18515942990779877,0.43150684237480164,0.24329185485839844,0.5116279125213623,0.40583357214927673,0.0,0.0,,,0.4954128563404083,0.27667170763015747
conic,nnunet,3,3,glas_29,0.0,0.0,0.44447460770606995,0.3092104196548462,0.49706459045410156,0.2709309756755829,0.7169811129570007,0.564330518245697,0.6399999856948853,0.4808235168457031,0.2222222238779068,0.1366666704416275,0.5905796885490417,0.4025108218193054
conic,nnunet,3,3,glas_32,0.0,0.0,0.36356472969055176,0.2534761428833008,0.5097492933273315,0.31607285141944885,0.7084870934486389,0.5537912845611572,0.39449542760849,0.2851952612400055,0.032258063554763794,0.009677419438958168,0.5363984704017639,0.35612016916275024
conic,nnunet,3,3,glas_41,,,0.5281314253807068,0.3920723795890808,0.24057450890541077,0.14744099974632263,0.75,0.5143385529518127,0.5,0.5,,,0.6219512224197388,0.4065099358558655
conic,nnunet,3,3,glas_45,0.0,0.0,0.3494408130645752,0.22606158256530762,0.3856382966041565,0.20979627966880798,0.6272878646850586,0.4607231020927429,0.18478260934352875,0.1416160762310028,0.4166666567325592,0.26120248436927795,0.4822694957256317,0.2830316126346588
