method,file,subset,exp,dice_score,mean_average_precision,average_precision_at_iou_50,dataset
STAPLE,0007_mask.png,train,3,0.924468566259611,0.7329642176628113,0.8709677457809448,PV_in_HC
STAPLE,0007_mask.png,train,4,0.8986900718916774,0.5698809623718262,0.8666666746139526,PV_in_HC
STAPLE,0007_mask.png,train,5,0.8999745698058829,0.6282886266708374,0.9642857313156128,PV_in_HC
STAPLE,0008_mask.png,train,1,0.7775403925757778,0.3738706111907959,0.6842105388641357,PV_in_HC
STAPLE,0008_mask.png,train,2,0.9144565286522929,0.6708760261535645,1.0,PV_in_HC
STAPLE,0008_mask.png,train,3,0.9506092124814265,0.8100862503051758,1.0,PV_in_HC
STAPLE,0008_mask.png,train,4,0.884214588961791,0.6545057892799377,0.8823529481887817,PV_in_HC
STAPLE,0008_mask.png,train,5,0.8832613532260175,0.6165623068809509,0.9411764740943909,PV_in_HC
STAPLE,0011_mask.png,train,1,0.8947165445430004,0.6142857074737549,1.0,PV_in_HC
STAPLE,0011_mask.png,train,2,0.8715675057208239,0.552063524723053,1.0,PV_in_HC
STAPLE,0011_mask.png,train,3,0.9536869340232859,0.7764102220535278,1.0,PV_in_HC
STAPLE,0011_mask.png,train,4,0.7705085902833088,0.558571457862854,0.800000011920929,PV_in_HC
STAPLE,0011_mask.png,train,5,0.9445442875481387,0.7777777910232544,1.0,PV_in_HC
STAPLE,0015_mask.png,train,1,0.85886875343218,0.6430555582046509,0.8333333134651184,PV_in_HC
STAPLE,0015_mask.png,train,2,0.8550289942011597,0.5138528347015381,1.0,PV_in_HC
STAPLE,0015_mask.png,train,3,0.8502366463826909,0.6367857456207275,0.8571428656578064,PV_in_HC
STAPLE,0015_mask.png,train,4,0.9518137520303195,0.842424213886261,1.0,PV_in_HC
STAPLE,0015_mask.png,train,5,0.7786306416948111,0.510606050491333,0.75,PV_in_HC
STAPLE,0062_mask.png,train,1,0.7096388741370153,0.4245281219482422,0.6190476417541504,PV_in_HC
STAPLE,0062_mask.png,train,2,0.897528595981746,0.6594300270080566,1.0,PV_in_HC
STAPLE,0062_mask.png,train,3,0.9395082054277974,0.7661589980125427,0.9545454382896423,PV_in_HC
STAPLE,0062_mask.png,train,4,0.8117175763645468,0.5656335353851318,0.8095238208770752,PV_in_HC
STAPLE,0062_mask.png,train,5,0.9295652173913044,0.7282552123069763,0.9545454382896423,PV_in_HC
STAPLE,0063_mask.png,train,1,0.8571010463159434,0.5730277895927429,0.8571428656578064,PV_in_HC
STAPLE,0063_mask.png,train,2,0.8928822564262834,0.59040766954422,1.0,PV_in_HC
STAPLE,0063_mask.png,train,3,0.9602171273480465,0.8603333234786987,1.0,PV_in_HC
STAPLE,0063_mask.png,train,4,0.916565900846433,0.6618615388870239,0.9333333373069763,PV_in_HC
STAPLE,0063_mask.png,train,5,0.9239276640263039,0.7246631383895874,1.0,PV_in_HC
STAPLE,0064_mask.png,train,1,0.834999462538966,0.47199660539627075,0.800000011920929,PV_in_HC
STAPLE,0064_mask.png,train,2,0.7925579040627769,0.43158119916915894,0.8666666746139526,PV_in_HC
STAPLE,0064_mask.png,train,3,0.8963093145869947,0.6542658805847168,0.8125,PV_in_HC
STAPLE,0064_mask.png,train,4,0.904783393501805,0.6341007947921753,0.9333333373069763,PV_in_HC
STAPLE,0064_mask.png,train,5,0.8895265423242469,0.5779491662979126,1.0,PV_in_HC
STAPLE,0067_mask.png,train,1,0.8774901960784314,0.5854427218437195,0.8823529481887817,PV_in_HC
STAPLE,0067_mask.png,train,2,0.8504549068103524,0.427252858877182,0.7894737124443054,PV_in_HC
STAPLE,0067_mask.png,train,3,0.9024551117625504,0.562938392162323,0.8095238208770752,PV_in_HC
STAPLE,0067_mask.png,train,4,0.8999588984792438,0.5628440976142883,0.7368420958518982,PV_in_HC
STAPLE,0067_mask.png,train,5,0.910207468879668,0.6781567931175232,0.9411764740943909,PV_in_HC
STAPLE,0068_mask.png,train,1,0.7843294916465648,0.44300952553749084,0.6216216087341309,PV_in_HC
STAPLE,0068_mask.png,train,2,0.840083027867332,0.4732435643672943,0.9444444179534912,PV_in_HC
STAPLE,0068_mask.png,train,3,0.9346392917686946,0.7800430655479431,0.9729729890823364,PV_in_HC
STAPLE,0068_mask.png,train,4,0.7884632477113145,0.4257509112358093,0.7567567825317383,PV_in_HC
STAPLE,0068_mask.png,train,5,0.8629179572710666,0.533044695854187,0.9444444179534912,PV_in_HC
STAPLE,0069_mask.png,train,1,0.8720054757015743,0.4342857301235199,0.7142857313156128,PV_in_HC
STAPLE,0069_mask.png,train,2,0.8195624195624196,0.4611111283302307,0.6666666865348816,PV_in_HC
STAPLE,0069_mask.png,train,3,0.959929156519814,0.8805195093154907,1.0,PV_in_HC
STAPLE,0069_mask.png,train,4,0.8765284104531288,0.6046428084373474,0.8333333134651184,PV_in_HC
STAPLE,0069_mask.png,train,5,0.8885672937771346,0.6611111760139465,0.8571428656578064,PV_in_HC
STAPLE,0072_mask.png,train,1,0.8612055986170747,0.5444127321243286,0.7419354915618896,PV_in_HC
STAPLE,0072_mask.png,train,2,0.8681745988279752,0.5638066530227661,0.9354838728904724,PV_in_HC
STAPLE,0072_mask.png,train,3,0.8895043731778427,0.6784192323684692,0.8285714387893677,PV_in_HC
STAPLE,0072_mask.png,train,4,0.8541893987250905,0.4729313254356384,0.6666666865348816,PV_in_HC
STAPLE,0072_mask.png,train,5,0.8949152542372881,0.6161062717437744,1.0,PV_in_HC
STAPLE,0074_mask.png,train,1,0.8908166317678733,0.5816666483879089,0.75,PV_in_HC
STAPLE,0074_mask.png,train,2,0.8367276492923714,0.46666663885116577,1.0,PV_in_HC
STAPLE,0074_mask.png,train,3,0.6795149415331312,0.4033333361148834,0.5,PV_in_HC
STAPLE,0074_mask.png,train,4,0.8883183568677792,0.5649999976158142,0.75,PV_in_HC
STAPLE,0074_mask.png,train,5,0.9339152119700748,0.7666667103767395,1.0,PV_in_HC
STAPLE,0076_mask.png,train,1,0.8806903036672382,0.5938066244125366,0.8823529481887817,PV_in_HC
STAPLE,0076_mask.png,train,2,0.8472309827172952,0.5040942430496216,0.9375,PV_in_HC
STAPLE,0076_mask.png,train,3,0.9552690582959642,0.835087776184082,1.0,PV_in_HC
STAPLE,0076_mask.png,train,4,0.9086634536264252,0.7180010676383972,0.9375,PV_in_HC
STAPLE,0076_mask.png,train,5,0.9211307024909039,0.7015706300735474,1.0,PV_in_HC
STAPLE,0077_mask.png,train,1,0.8771163298743856,0.639609158039093,0.9285714030265808,PV_in_HC
STAPLE,0077_mask.png,train,2,0.8250705360741637,0.3767738938331604,1.0,PV_in_HC
STAPLE,0077_mask.png,train,3,0.941155805375022,0.8004428744316101,1.0,PV_in_HC
STAPLE,0077_mask.png,train,4,0.8780258076669492,0.6086676120758057,0.9285714030265808,PV_in_HC
STAPLE,0077_mask.png,train,5,0.8883016208597604,0.5688034296035767,1.0,PV_in_HC
STAPLE,0078_mask.png,train,1,0.8284637486473375,0.5239415168762207,0.78125,PV_in_HC
STAPLE,0078_mask.png,train,2,0.9119093754657922,0.6297997832298279,0.9117646813392639,PV_in_HC
STAPLE,0078_mask.png,train,3,0.8998730096708021,0.668354868888855,0.8421052694320679,PV_in_HC
STAPLE,0078_mask.png,train,4,0.8139106771250201,0.4600434899330139,0.6666666865348816,PV_in_HC
STAPLE,0078_mask.png,train,5,0.8569232542946081,0.6573200225830078,0.84375,PV_in_HC
STAPLE,0082_mask.png,train,1,0.880932400932401,0.31866875290870667,0.6000000238418579,PV_in_HC
STAPLE,0082_mask.png,train,2,0.8861631159888099,0.4177166819572449,0.692307710647583,PV_in_HC
STAPLE,0082_mask.png,train,3,0.9438136826783116,0.7197068929672241,0.8333333134651184,PV_in_HC
STAPLE,0082_mask.png,train,4,0.9417828987265009,0.4930647313594818,0.692307710647583,PV_in_HC
STAPLE,0082_mask.png,train,5,0.9186478082054369,0.43367114663124084,0.75,PV_in_HC
STAPLE,0089_mask.png,train,1,0.8936334405144695,0.4670400023460388,0.6521739363670349,PV_in_HC
STAPLE,0089_mask.png,train,2,0.8826961356304481,0.5580962896347046,0.9444444179534912,PV_in_HC
STAPLE,0089_mask.png,train,3,0.9555046723188315,0.8089473843574524,1.0,PV_in_HC
STAPLE,0089_mask.png,train,4,0.8304532577903683,0.5398549437522888,0.7777777910232544,PV_in_HC
STAPLE,0089_mask.png,train,5,0.902984593566686,0.5661807060241699,0.9444444179534912,PV_in_HC
STAPLE,0091_mask.png,train,1,0.8469682386910491,0.6166666746139526,0.75,PV_in_HC
STAPLE,0091_mask.png,train,2,0.881939393939394,0.5533333420753479,1.0,PV_in_HC
STAPLE,0091_mask.png,train,3,0.9513704686118478,0.8266666531562805,1.0,PV_in_HC
STAPLE,0091_mask.png,train,4,0.7919359007495477,0.35500001907348633,0.75,PV_in_HC
STAPLE,0091_mask.png,train,5,0.9135911602209945,0.6599999666213989,1.0,PV_in_HC
STAPLE,0092_mask.png,train,1,0.8059514487079091,0.45318180322647095,0.625,PV_in_HC
STAPLE,0092_mask.png,train,2,0.8073989939964303,0.3563636839389801,0.6000000238418579,PV_in_HC
STAPLE,0092_mask.png,train,3,0.9607036459072208,0.8920634984970093,1.0,PV_in_HC
STAPLE,0092_mask.png,train,4,0.8860643185298621,0.650557816028595,0.875,PV_in_HC
STAPLE,0092_mask.png,train,5,0.9106347438752784,0.6869065761566162,0.8888888955116272,PV_in_HC
STAPLE,0093_mask.png,train,1,0.8359623902401119,0.3925465941429138,0.6000000238418579,PV_in_HC
STAPLE,0093_mask.png,train,2,0.8697689989956479,0.5326159596443176,0.7777777910232544,PV_in_HC
STAPLE,0093_mask.png,train,3,0.9194133655881463,0.6541904807090759,0.9375,PV_in_HC
STAPLE,0093_mask.png,train,4,0.8295726495726495,0.4624379575252533,0.75,PV_in_HC
STAPLE,0093_mask.png,train,5,0.867205169628433,0.5697714686393738,0.7647058963775635,PV_in_HC
STAPLE,0094_mask.png,train,1,0.9327521793275219,0.7699999809265137,1.0,PV_in_HC
STAPLE,0094_mask.png,train,2,0.7180005778676682,0.47583335638046265,0.625,PV_in_HC
STAPLE,0094_mask.png,train,3,0.9761321909424725,0.949999988079071,1.0,PV_in_HC
STAPLE,0094_mask.png,train,4,0.9360824742268041,0.7628571391105652,1.0,PV_in_HC
STAPLE,0094_mask.png,train,5,0.9409349336702464,0.7914285659790039,1.0,PV_in_HC
STAPLE,0096_mask.png,train,1,0.7606526950738536,0.35680848360061646,0.625,PV_in_HC
STAPLE,0096_mask.png,train,2,0.7283712343710665,0.27357035875320435,0.5789473652839661,PV_in_HC
STAPLE,0096_mask.png,train,3,0.8753147801381804,0.606651782989502,0.7777777910232544,PV_in_HC
STAPLE,0096_mask.png,train,4,0.7908882333661095,0.43564707040786743,0.6875,PV_in_HC
STAPLE,0096_mask.png,train,5,0.9006612891504977,0.628247857093811,0.8666666746139526,PV_in_HC
STAPLE,0098_mask.png,train,1,0.8092927207021167,0.48937517404556274,0.692307710647583,PV_in_HC
STAPLE,0098_mask.png,train,2,0.7445384766778192,0.4261661469936371,0.800000011920929,PV_in_HC
STAPLE,0098_mask.png,train,3,0.9483125288950531,0.8055872917175293,1.0,PV_in_HC
STAPLE,0098_mask.png,train,4,0.852928870292887,0.4746344983577728,0.6666666865348816,PV_in_HC
STAPLE,0098_mask.png,train,5,0.9055472263868066,0.694399893283844,0.8461538553237915,PV_in_HC
STAPLE,0099_mask.png,train,1,0.7057837384744342,0.41513556241989136,0.6363636255264282,PV_in_HC
STAPLE,0099_mask.png,train,2,0.881585811163276,0.631865382194519,0.9166666865348816,PV_in_HC
STAPLE,0099_mask.png,train,3,0.8082157045051136,0.5467507243156433,0.7333333492279053,PV_in_HC
STAPLE,0099_mask.png,train,4,0.8081415519833469,0.5539088249206543,0.8181818127632141,PV_in_HC
STAPLE,0099_mask.png,train,5,0.9274694450010018,0.7592262029647827,0.9166666865348816,PV_in_HC
STAPLE,0100_mask.png,train,1,0.5594868611628387,0.3544444441795349,0.625,PV_in_HC
STAPLE,0100_mask.png,train,2,0.8817749603803486,0.44214287400245667,0.8571428656578064,PV_in_HC
STAPLE,0100_mask.png,train,3,0.8675728155339806,0.7565476298332214,0.8571428656578064,PV_in_HC
STAPLE,0100_mask.png,train,4,0.8955177743431221,0.6733766198158264,1.0,PV_in_HC
STAPLE,0100_mask.png,train,5,0.9174956114686952,0.6708333492279053,0.8571428656578064,PV_in_HC
STAPLE,0101_mask.png,train,1,0.8114148186350353,0.3044065833091736,0.5333333611488342,PV_in_HC
STAPLE,0101_mask.png,train,2,0.7821015393441055,0.31046223640441895,0.7857142686843872,PV_in_HC
STAPLE,0101_mask.png,train,3,0.9017796289284362,0.6434083580970764,0.8125,PV_in_HC
STAPLE,0101_mask.png,train,4,0.7777675869026874,0.3992307782173157,0.8461538553237915,PV_in_HC
STAPLE,0101_mask.png,train,5,0.9049031855090569,0.7453948855400085,0.9285714030265808,PV_in_HC
STAPLE,0106_mask.png,train,1,0.8643990929705215,0.44999998807907104,0.6666666865348816,PV_in_HC
STAPLE,0106_mask.png,train,2,0.8760245901639344,0.6399999856948853,1.0,PV_in_HC
STAPLE,0106_mask.png,train,3,0.7829487680876026,0.5066666603088379,0.75,PV_in_HC
STAPLE,0106_mask.png,train,4,0.8986828774062816,0.5333333611488342,0.6666666865348816,PV_in_HC
STAPLE,0106_mask.png,train,5,0.911166253101737,0.5583333373069763,0.6666666865348816,PV_in_HC
STAPLE,0144_mask.png,train,1,0.7979488322835963,0.4236007630825043,0.695652186870575,PV_in_HC
STAPLE,0144_mask.png,train,2,0.8881767583066285,0.5259885191917419,0.8695651888847351,PV_in_HC
STAPLE,0144_mask.png,train,3,0.883661370642637,0.5544260144233704,0.7599999904632568,PV_in_HC
STAPLE,0144_mask.png,train,4,0.8621087948957703,0.5274868011474609,0.9047619104385376,PV_in_HC
STAPLE,0144_mask.png,train,5,0.8725083763984326,0.5689626932144165,0.9523809552192688,PV_in_HC
STAPLE,0145_mask.png,train,1,0.8022986375011586,0.4511082172393799,0.7777777910232544,PV_in_HC
STAPLE,0145_mask.png,train,2,0.8749432385796022,0.5881754159927368,0.9285714030265808,PV_in_HC
STAPLE,0145_mask.png,train,3,0.8759547010797999,0.634813666343689,0.8709677457809448,PV_in_HC
STAPLE,0145_mask.png,train,4,0.833647610725291,0.5217628479003906,0.75,PV_in_HC
