dataset,method,comparison,repetition_a,repetition_a_name,repetition_b,repetition_b_name,idx,dice_score
mScarlet_in_PAG,cellpose,2,2,cyto2,3,cyto2,2366,1.0
mScarlet_in_PAG,cellpose,2,2,cyto2,3,cyto2,2355,1.0
mScarlet_in_PAG,cellpose_single,0,1,1,2,2,2359,0.8360664553999494
mScarlet_in_PAG,cellpose_single,0,1,1,2,2,2364,0.8870124588981484
mScarlet_in_PAG,cellpose_single,0,1,1,2,2,2363,0.861040376872026
mScarlet_in_PAG,cellpose_single,0,1,1,2,2,2368,0.8552830592092238
mScarlet_in_PAG,cellpose_single,0,1,1,2,2,2354,0.9243940947637418
mScarlet_in_PAG,cellpose_single,0,1,1,2,2,2365,0.8749043202353616
mScarlet_in_PAG,cellpose_single,0,1,1,2,2,2366,0.8479879402998814
mScarlet_in_PAG,cellpose_single,0,1,1,2,2,2355,0.8468336830396642
mScarlet_in_PAG,cellpose_single,1,1,1,3,3,2359,0.8542473755269611
mScarlet_in_PAG,cellpose_single,1,1,1,3,3,2364,0.9167554581173981
mScarlet_in_PAG,cellpose_single,1,1,1,3,3,2363,0.8824039391345907
mScarlet_in_PAG,cellpose_single,1,1,1,3,3,2368,0.9110731568460007
mScarlet_in_PAG,cellpose_single,1,1,1,3,3,2354,0.9418718893804685
mScarlet_in_PAG,cellpose_single,1,1,1,3,3,2365,0.8947864328348919
mScarlet_in_PAG,cellpose_single,1,1,1,3,3,2366,0.8480348858024056
mScarlet_in_PAG,cellpose_single,1,1,1,3,3,2355,0.8894202877354122
mScarlet_in_PAG,cellpose_single,2,2,2,3,3,2359,0.8014522981846273
mScarlet_in_PAG,cellpose_single,2,2,2,3,3,2364,0.8899104500265614
mScarlet_in_PAG,cellpose_single,2,2,2,3,3,2363,0.8367182857342609
mScarlet_in_PAG,cellpose_single,2,2,2,3,3,2368,0.8401784357276749
mScarlet_in_PAG,cellpose_single,2,2,2,3,3,2354,0.9113754016883827
mScarlet_in_PAG,cellpose_single,2,2,2,3,3,2365,0.8719168177950065
